# resolution=8
# scale=1.0
# transform=0,0,0
r,g,b,a
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
30,50,10,36
45,76,16,31
0,0,0,0
0,0,0,0
0,0,0,0
73,121,26,166
5,10,1,7
98,147,32,182
91,152,33,255
65,108,23,82
54,92,19,75
81,134,28,195
34,57,11,56
108,165,36,255
55,89,19,124
98,158,34,255
83,138,30,198
4,7,1,3
37,63,13,50
108,166,36,255
76,128,27,184
87,141,30,222
60,101,21,130
73,116,25,183
72,116,25,109
31,52,11,21
9,15,3,6
113,165,37,240
83,138,29,227
75,127,27,123
52,88,18,135
99,158,34,254
80,132,28,190
54,90,19,41
0,0,0,0
72,114,24,56
76,125,27,157
61,104,22,125
101,150,33,118
101,152,33,144
60,101,21,73
0,0,0,0
0,0,0,0
0,0,0,0
58,98,20,116
68,113,24,98
90,148,32,245
91,152,33,255
87,145,31,242
53,89,19,65
0,0,0,0
52,87,18,127
61,104,22,51
0,0,0,0
30,51,10,26
43,72,15,60
14,24,5,10
0,0,0,0
