x,y,z,r,g,b
1,13,0,74,51,43
1,13,1,74,51,43
1,13,2,74,51,43
1,13,3,74,51,43
1,13,4,74,51,43
1,13,5,74,51,43
1,13,6,74,51,43
1,13,7,74,51,43
2,13,0,84,57,48
2,13,1,84,57,48
2,13,2,84,57,48
2,13,3,84,57,48
2,13,4,84,57,48
2,13,5,84,57,48
2,13,6,84,57,48
2,13,7,84,57,48
3,13,0,84,57,48
3,13,1,84,57,48
3,13,2,84,57,48
3,13,3,84,57,48
3,13,4,84,57,48
3,13,5,84,57,48
3,13,6,84,57,48
3,13,7,84,57,48
4,13,0,79,54,45
4,13,1,79,54,45
4,13,2,79,54,45
4,13,3,79,54,45
4,13,4,79,54,45
4,13,5,79,54,45
4,13,6,79,54,45
4,13,7,79,54,45
1,12,0,97,68,50
1,12,1,97,68,50
1,12,2,97,68,50
1,12,3,97,68,50
1,12,4,97,68,50
1,12,5,97,68,50
1,12,6,97,68,50
1,12,7,97,68,50
2,12,0,149,112,47
2,12,1,149,112,47
2,12,2,149,112,47
2,12,3,149,112,47
2,12,4,149,112,47
2,12,5,149,112,47
2,12,6,149,112,47
2,12,7,149,112,47
3,12,0,240,189,42
3,12,1,240,189,42
3,12,2,240,189,42
3,12,3,240,189,42
3,12,4,240,189,42
3,12,5,240,189,42
3,12,6,240,189,42
3,12,7,240,189,42
4,12,0,148,111,46
4,12,1,148,111,46
4,12,2,148,111,46
4,12,3,148,111,46
4,12,4,148,111,46
4,12,5,148,111,46
4,12,6,148,111,46
4,12,7,148,111,46
1,11,0,180,134,37
1,11,1,180,134,37
1,11,2,180,134,37
1,11,3,180,134,37
1,11,4,180,134,37
1,11,5,180,134,37
1,11,6,180,134,37
1,11,7,180,134,37
2,11,0,204,165,46
2,11,1,204,165,46
2,11,2,204,165,46
2,11,3,204,165,46
2,11,4,204,165,46
2,11,5,204,165,46
2,11,6,204,165,46
2,11,7,204,165,46
3,11,0,228,182,43
3,11,1,228,182,43
3,11,2,228,182,43
3,11,3,228,182,43
3,11,4,228,182,43
3,11,5,228,182,43
3,11,6,228,182,43
3,11,7,228,182,43
4,11,0,196,153,42
4,11,1,196,153,42
4,11,2,196,153,42
4,11,3,196,153,42
4,11,4,196,153,42
4,11,5,196,153,42
4,11,6,196,153,42
4,11,7,196,153,42
1,10,0,117,88,36
1,10,1,117,88,36
1,10,2,117,88,36
1,10,3,117,88,36
1,10,4,117,88,36
1,10,5,117,88,36
1,10,6,117,88,36
1,10,7,117,88,36
2,10,0,232,182,44
2,10,1,232,182,44
2,10,2,232,182,44
2,10,3,232,182,44
2,10,4,232,182,44
2,10,5,232,182,44
