x,y,z,r,g,b
5,12,0,149,56,54
5,12,1,149,56,54
5,12,2,149,56,54
5,12,3,149,56,54
5,12,4,149,56,54
5,12,5,149,56,54
5,12,6,149,56,54
5,12,7,149,56,54
6,12,0,167,63,61
6,12,1,167,63,61
6,12,2,167,63,61
6,12,3,167,63,61
6,12,4,167,63,61
6,12,5,167,63,61
6,12,6,167,63,61
6,12,7,167,63,61
8,12,0,230,87,84
8,12,1,230,87,84
8,12,2,230,87,84
8,12,3,230,87,84
8,12,4,230,87,84
8,12,5,230,87,84
8,12,6,230,87,84
8,12,7,230,87,84
9,12,0,224,85,82
9,12,1,224,85,82
9,12,2,224,85,82
9,12,3,224,85,82
9,12,4,224,85,82
9,12,5,224,85,82
9,12,6,224,85,82
9,12,7,224,85,82
5,11,0,255,97,94
5,11,1,255,97,94
5,11,2,255,97,94
5,11,3,255,97,94
5,11,4,255,97,94
5,11,5,255,97,94
5,11,6,255,97,94
5,11,7,255,97,94
6,11,0,255,97,94
6,11,1,255,97,94
6,11,2,255,97,94
6,11,3,255,97,94
6,11,4,255,97,94
6,11,5,255,97,94
6,11,6,255,97,94
6,11,7,255,97,94
7,11,0,255,97,94
7,11,1,255,97,94
7,11,2,255,97,94
7,11,3,255,97,94
7,11,4,255,97,94
7,11,5,255,97,94
7,11,6,255,97,94
7,11,7,255,97,94
8,11,0,255,97,94
8,11,1,255,97,94
8,11,2,255,97,94
8,11,3,255,97,94
8,11,4,255,97,94
8,11,5,255,97,94
8,11,6,255,97,94
8,11,7,255,97,94
9,11,0,255,97,94
9,11,1,255,97,94
9,11,2,255,97,94
9,11,3,255,97,94
9,11,4,255,97,94
9,11,5,255,97,94
9,11,6,255,97,94
9,11,7,255,97,94
3,10,0,250,95,92
3,10,1,250,95,92
3,10,2,250,95,92
3,10,3,250,95,92
3,10,4,250,95,92
3,10,5,250,95,92
3,10,6,250,95,92
3,10,7,250,95,92
4,10,0,252,107,104
4,10,1,252,107,104
4,10,2,252,107,104
4,10,3,252,107,104
4,10,4,252,107,104
4,10,5,252,107,104
4,10,6,252,107,104
4,10,7,252,107,104
5,10,0,240,158,156
5,10,1,240,158,156
5,10,2,240,158,156
5,10,3,240,158,156
5,10,4,240,158,156
5,10,5,240,158,156
5,10,6,240,158,156
5,10,7,240,158,156
6,10,0,239,160,159
6,10,1,239,160,159
6,10,2,239,160,159
6,10,3,239,160,159
6,10,4,239,160,159
6,10,5,239,160,159
6,10,6,239,160,159
6,10,7,239,160,159
7,10,0,240,154,153
7,10,1,240,154,153
7,10,2,240,154,153
7,10,3,240,154,153
7,10,4,240,154,153
7,10,5,240,154,153
7,10,6,240,154,153
7,10,7,240,154,153
8,10,0,251,110,108
8,10,1,251,110,108
8,10,2,251,110,108
8,10,3,251,110,108
8,10,4,251,110,108
8,10,5,251,110,108
8,10,6,251,110,108
8,10,7,251,110,108
9,10,0,206,78,76
9,10,1,206,78,76
9,10,2,206,78,76
9,10,3,206,78,76
9,10,4,206,78,76
9,10,5,206,78,76
9,10,6,206,78,76
9,10,7,206,78,76
2,9,0,175,66,64
2,9,1,175,66,64
2,9,2,175,66,64
2,9,3,175,66,64
2,9,4,175,66,64
2,9,5,175,66,64
2,9,6,175,66,64
2,9,7,175,66,64
3,9,0,248,122,120
3,9,1,248,122,120
3,9,2,248,122,120
3,9,3,248,122,120
3,9,4,248,122,120
3,9,5,248,122,120
3,9,6,248,122,120
3,9,7,248,122,120
4,9,0,228,207,206
4,9,1,228,207,206
4,9,2,228,207,206
4,9,3,228,207,206
4,9,4,228,207,206
4,9,5,228,207,206
4,9,6,228,207,206
4,9,7,228,207,206
5,9,0,239,162,161
5,9,1,239,162,161
5,9,2,239,162,161
5,9,3,239,162,161
5,9,4,239,162,161
5,9,5,239,162,161
5,9,6,239,162,161
5,9,7,239,162,161
6,9,0,235,177,176
6,9,1,235,177,176
6,9,2,235,177,176
6,9,3,235,177,176
6,9,4,235,177,176
6,9,5,235,177,176
6,9,6,235,177,176
6,9,7,235,177,176
7,9,0,224,224,224
7,9,1,224,224,224
7,9,2,224,224,224
7,9,3,224,224,224
7,9,4,224,224,224
7,9,5,224,224,224
7,9,6,224,224,224
7,9,7,224,224,224
8,9,0,224,224,224
8,9,1,224,224,224
8,9,2,224,224,224
8,9,3,224,224,224
8,9,4,224,224,224
8,9,5,224,224,224
8,9,6,224,224,224
8,9,7,224,224,224
9,9,0,137,137,137
9,9,1,137,137,137
9,9,2,137,137,137
9,9,3,137,137,137
9,9,4,137,137,137
9,9,5,137,137,137
9,9,6,137,137,137
9,9,7,137,137,137
3,8,0,238,133,113
3,8,1,238,133,113
3,8,2,238,133,113
3,8,3,238,133,113
3,8,4,238,133,113
3,8,5,238,133,113
3,8,6,238,133,113
3,8,7,238,133,113
4,8,0,253,104,101
4,8,1,253,104,101
4,8,2,253,104,101
4,8,3,253,104,101
4,8,4,253,104,101
4,8,5,253,104,101
4,8,6,253,104,101
4,8,7,253,104,101
5,8,0,193,81,79
5,8,1,193,81,79
5,8,2,193,81,79
5,8,3,193,81,79
5,8,4,193,81,79
5,8,5,193,81,79
5,8,6,193,81,79
5,8,7,193,81,79
6,8,0,248,95,92
6,8,1,248,95,92
6,8,2,248,95,92
6,8,3,248,95,92
6,8,4,248,95,92
6,8,5,248,95,92
6,8,6,248,95,92
6,8,7,248,95,92
7,8,0,228,206,205
7,8,1,228,206,205
7,8,2,228,206,205
7,8,3,228,206,205
7,8,4,228,206,205
