x,y,z,r,g,b
3,13,0,82,113,25
3,13,1,82,113,25
3,13,2,82,113,25
3,13,3,82,113,25
3,13,4,82,113,25
3,13,5,82,113,25
3,13,6,82,113,25
3,13,7,82,113,25
4,13,0,139,192,43
4,13,1,139,192,43
4,13,2,139,192,43
4,13,3,139,192,43
4,13,4,139,192,43
4,13,5,139,192,43
4,13,6,139,192,43
4,13,7,139,192,43
5,13,0,139,192,43
5,13,1,139,192,43
5,13,2,139,192,43
5,13,3,139,192,43
5,13,4,139,192,43
5,13,5,139,192,43
5,13,6,139,192,43
5,13,7,139,192,43
6,13,0,139,192,43
6,13,1,139,192,43
6,13,2,139,192,43
6,13,3,139,192,43
6,13,4,139,192,43
6,13,5,139,192,43
6,13,6,139,192,43
6,13,7,139,192,43
7,13,0,139,192,43
7,13,1,139,192,43
7,13,2,139,192,43
7,13,3,139,192,43
7,13,4,139,192,43
7,13,5,139,192,43
7,13,6,139,192,43
7,13,7,139,192,43
8,13,0,120,165,37
8,13,1,120,165,37
8,13,2,120,165,37
8,13,3,120,165,37
8,13,4,120,165,37
8,13,5,120,165,37
8,13,6,120,165,37
8,13,7,120,165,37
3,12,0,139,192,43
3,12,1,139,192,43
3,12,2,139,192,43
3,12,3,139,192,43
3,12,4,139,192,43
3,12,5,139,192,43
3,12,6,139,192,43
3,12,7,139,192,43
4,12,0,139,192,43
4,12,1,139,192,43
4,12,2,139,192,43
4,12,3,139,192,43
4,12,4,139,192,43
4,12,5,139,192,43
4,12,6,139,192,43
4,12,7,139,192,43
5,12,0,139,192,43
5,12,1,139,192,43
5,12,2,139,192,43
5,12,3,139,192,43
5,12,4,139,192,43
5,12,5,139,192,43
5,12,6,139,192,43
5,12,7,139,192,43
6,12,0,139,192,43
6,12,1,139,192,43
6,12,2,139,192,43
6,12,3,139,192,43
6,12,4,139,192,43
6,12,5,139,192,43
6,12,6,139,192,43
6,12,7,139,192,43
7,12,0,139,192,43
7,12,1,139,192,43
7,12,2,139,192,43
7,12,3,139,192,43
7,12,4,139,192,43
7,12,5,139,192,43
7,12,6,139,192,43
7,12,7,139,192,43
8,12,0,139,192,43
8,12,1,139,192,43
8,12,2,139,192,43
8,12,3,139,192,43
8,12,4,139,192,43
8,12,5,139,192,43
8,12,6,139,192,43
8,12,7,139,192,43
9,12,0,129,179,40
9,12,1,129,179,40
9,12,2,129,179,40
9,12,3,129,179,40
9,12,4,129,179,40
9,12,5,129,179,40
9,12,6,129,179,40
9,12,7,129,179,40
1,11,0,75,120,26
1,11,1,75,120,26
1,11,2,75,120,26
1,11,3,75,120,26
1,11,4,75,120,26
1,11,5,75,120,26
1,11,6,75,120,26
1,11,7,75,120,26
2,11,0,91,152,33
2,11,1,91,152,33
2,11,2,91,152,33
2,11,3,91,152,33
2,11,4,91,152,33
2,11,5,91,152,33
2,11,6,91,152,33
2,11,7,91,152,33
3,11,0,118,175,38
3,11,1,118,175,38
3,11,2,118,175,38
3,11,3,118,175,38
3,11,4,118,175,38
3,11,5,118,175,38
3,11,6,118,175,38
3,11,7,118,175,38
4,11,0,139,192,43
4,11,1,139,192,43
4,11,2,139,192,43
4,11,3,139,192,43
4,11,4,139,192,43
4,11,5,139,192,43
4,11,6,139,192,43
4,11,7,139,192,43
5,11,0,139,192,43
5,11,1,139,192,43
5,11,2,139,192,43
5,11,3,139,192,43
5,11,4,139,192,43
5,11,5,139,192,43
5,11,6,139,192,43
5,11,7,139,192,43
6,11,0,139,192,43
6,11,1,139,192,43
6,11,2,139,192,43
6,11,3,139,192,43
6,11,4,139,192,43
6,11,5,139,192,43
6,11,6,139,192,43
6,11,7,139,192,43
7,11,0,139,192,43
7,11,1,139,192,43
7,11,2,139,192,43
7,11,3,139,192,43
7,11,4,139,192,43
7,11,5,139,192,43
7,11,6,139,192,43
7,11,7,139,192,43
8,11,0,139,192,43
8,11,1,139,192,43
8,11,2,139,192,43
8,11,3,139,192,43
8,11,4,139,192,43
8,11,5,139,192,43
8,11,6,139,192,43
8,11,7,139,192,43
9,11,0,133,187,41
9,11,1,133,187,41
9,11,2,133,187,41
9,11,3,133,187,41
9,11,4,133,187,41
9,11,5,133,187,41
9,11,6,133,187,41
9,11,7,133,187,41
10,11,0,86,118,26
10,11,1,86,118,26
10,11,2,86,118,26
10,11,3,86,118,26
10,11,4,86,118,26
10,11,5,86,118,26
10,11,6,86,118,26
10,11,7,86,118,26
0,10,0,100,155,34
0,10,1,100,155,34
0,10,2,100,155,34
0,10,3,100,155,34
0,10,4,100,155,34
0,10,5,100,155,34
0,10,6,100,155,34
0,10,7,100,155,34
1,10,0,139,192,43
1,10,1,139,192,43
1,10,2,139,192,43
1,10,3,139,192,43
1,10,4,139,192,43
1,10,5,139,192,43
1,10,6,139,192,43
1,10,7,139,192,43
2,10,0,128,183,40
2,10,1,128,183,40
2,10,2,128,183,40
2,10,3,128,183,40
2,10,4,128,183,40
2,10,5,128,183,40
2,10,6,128,183,40
2,10,7,128,183,40
3,10,0,115,172,38
3,10,1,115,172,38
3,10,2,115,172,38
3,10,3,115,172,38
3,10,4,115,172,38
3,10,5,115,172,38
3,10,6,115,172,38
3,10,7,115,172,38
4,10,0,138,191,42
4,10,1,138,191,42
4,10,2,138,191,42
4,10,3,138,191,42
4,10,4,138,191,42
4,10,5,138,191,42
4,10,6,138,191,42
4,10,7,138,191,42
5,10,0,139,192,43
5,10,1,139,192,43
5,10,2,139,192,43
5,10,3,139,192,43
5,10,4,139,192,43
5,10,5,139,192,43
5,10,6,139,192,43
5,10,7,139,192,43
6,10,0,139,192,43
6,10,1,139,192,43
6,10,2,139,192,43
6,10,3,139,192,43
6,10,4,139,192,43
6,10,5,139,192,43
6,10,6,139,192,43
6,10,7,139,192,43
7,10,0,139,192,43
7,10,1,139,192,43
7,10,2,139,192,43
7,10,3,139,192,43
7,10,4,139,192,43
7,10,5,139,192,43
7,10,6,139,192,43
7,10,7,139,192,43
8,10,0,139,192,43
8,10,1,139,192,43
8,10,2,139,192,43
8,10,3,139,192,43
8,10,4,139,192,43
8,10,5,139,192,43
8,10,6,139,192,43
8,10,7,139,192,43
9,10,0,101,160,35
9,10,1,101,160,35
9,10,2,101,160,35
9,10,3,101,160,35
9,10,4,101,160,35
9,10,5,101,160,35
9,10,6,101,160,35
9,10,7,101,160,35
10,10,0,139,192,43
10,10,1,139,192,43
10,10,2,139,192,43
10,10,3,139,192,43
10,10,4,139,192,43
10,10,5,139,192,43
10,10,6,139,192,43
10,10,7,139,192,43
11,10,0,115,158,35
11,10,1,115,158,35
11,10,2,115,158,35
11,10,3,115,158,35
11,10,4,115,158,35
11,10,5,115,158,35
11,10,6,115,158,35
11,10,7,115,158,35
0,9,0,117,173,38
0,9,1,117,173,38
0,9,2,117,173,38
0,9,3,117,173,38
0,9,4,117,173,38
0,9,5,117,173,38
0,9,6,117,173,38
0,9,7,117,173,38
1,9,0,139,192,43
1,9,1,139,192,43
1,9,2,139,192,43
1,9,3,139,192,43
1,9,4,139,192,43
1,9,5,139,192,43
1,9,6,139,192,43
1,9,7,139,192,43
2,9,0,138,191,42
2,9,1,138,191,42
2,9,2,138,191,42
2,9,3,138,191,42
2,9,4,138,191,42
2,9,5,138,191,42
2,9,6,138,191,42
2,9,7,138,191,42
3,9,0,139,192,43
3,9,1,139,192,43
3,9,2,139,192,43
3,9,3,139,192,43
3,9,4,139,192,43
3,9,5,139,192,43
3,9,6,139,192,43
3,9,7,139,192,43
4,9,0,139,192,43
4,9,1,139,192,43
4,9,2,139,192,43
4,9,3,139,192,43
4,9,4,139,192,43
4,9,5,139,192,43
4,9,6,139,192,43
4,9,7,139,192,43
5,9,0,139,192,43
5,9,1,139,192,43
5,9,2,139,192,43
5,9,3,139,192,43
5,9,4,139,192,43
5,9,5,139,192,43
5,9,6,139,192,43
5,9,7,139,192,43
6,9,0,139,192,43
6,9,1,139,192,43
6,9,2,139,192,43
6,9,3,139,192,43
6,9,4,139,192,43
6,9,5,139,192,43
6,9,6,139,192,43
6,9,7,139,192,43
7,9,0,139,192,43
7,9,1,139,192,43
7,9,2,139,192,43
7,9,3,139,192,43
7,9,4,139,192,43
7,9,5,139,192,43
7,9,6,139,192,43
7,9,7,139,192,43
8,9,0,119,176,39
8,9,1,119,176,39
8,9,2,119,176,39
8,9,3,119,176,39
8,9,4,119,176,39
8,9,5,119,176,39
8,9,6,119,176,39
8,9,7,119,176,39
9,9,0,97,157,34
9,9,1,97,157,34
9,9,2,97,157,34
9,9,3,97,157,34
9,9,4,97,157,34
9,9,5,97,157,34
9,9,6,97,157,34
9,9,7,97,157,34
10,9,0,139,192,43
10,9,1,139,192,43
10,9,2,139,192,43
10,9,3,139,192,43
10,9,4,139,192,43
10,9,5,139,192,43
10,9,6,139,192,43
10,9,7,139,192,43
11,9,0,135,189,42
11,9,1,135,189,42
11,9,2,135,189,42
11,9,3,135,189,42
11,9,4,135,189,42
11,9,5,135,189,42
11,9,6,135,189,42
11,9,7,135,189,42
0,8,0,108,166,36
0,8,1,108,166,36
0,8,2,108,166,36
0,8,3,108,166,36
0,8,4,108,166,36
0,8,5,108,166,36
0,8,6,108,166,36
0,8,7,108,166,36
1,8,0,139,192,43
1,8,1,139,192,43
1,8,2,139,192,43
1,8,3,139,192,43
1,8,4,139,192,43
1,8,5,139,192,43
1,8,6,139,192,43
1,8,7,139,192,43
2,8,0,132,186,41
2,8,1,132,186,41
2,8,2,132,186,41
2,8,3,132,186,41
2,8,4,132,186,41
2,8,5,132,186,41
2,8,6,132,186,41
2,8,7,132,186,41
3,8,0,98,158,34
3,8,1,98,158,34
3,8,2,98,158,34
3,8,3,98,158,34
3,8,4,98,158,34
3,8,5,98,158,34
3,8,6,98,158,34
3,8,7,98,158,34
4,8,0,114,171,37
4,8,1,114,171,37
4,8,2,114,171,37
4,8,3,114,171,37
4,8,4,114,171,37
4,8,5,114,171,37
4,8,6,114,171,37
4,8,7,114,171,37
5,8,0,122,178,39
5,8,1,122,178,39
5,8,2,122,178,39
5,8,3,122,178,39
5,8,4,122,178,39
5,8,5,122,178,39
5,8,6,122,178,39
5,8,7,122,178,39
6,8,0,116,173,38
6,8,1,116,173,38
6,8,2,116,173,38
6,8,3,116,173,38
6,8,4,116,173,38
6,8,5,116,173,38
6,8,6,116,173,38
6,8,7,116,173,38
7,8,0,103,162,35
7,8,1,103,162,35
7,8,2,103,162,35
7,8,3,103,162,35
7,8,4,103,162,35
7,8,5,103,162,35
7,8,6,103,162,35
7,8,7,103,162,35
8,8,0,94,154,33
8,8,1,94,154,33
8,8,2,94,154,33
8,8,3,94,154,33
8,8,4,94,154,33
8,8,5,94,154,33
8,8,6,94,154,33
8,8,7,94,154,33
9,8,0,130,184,41
9,8,1,130,184,41
9,8,2,130,184,41
9,8,3,130,184,41
9,8,4,130,184,41
9,8,5,130,184,41
9,8,6,130,184,41
9,8,7,130,184,41
10,8,0,139,192,43
10,8,1,139,192,43
10,8,2,139,192,43
10,8,3,139,192,43
10,8,4,139,192,43
10,8,5,139,192,43
10,8,6,139,192,43
10,8,7,139,192,43
11,8,0,109,167,36
11,8,1,109,167,36
11,8,2,109,167,36
11,8,3,109,167,36
11,8,4,109,167,36
11,8,5,109,167,36
11,8,6,109,167,36
11,8,7,109,167,36
0,7,0,82,136,29
0,7,1,82,136,29
0,7,2,82,136,29
0,7,3,82,136,29
0,7,4,82,136,29
0,7,5,82,136,29
0,7,6,82,136,29
0,7,7,82,136,29
1,7,0,116,173,38
1,7,1,116,173,38
1,7,2,116,173,38
1,7,3,116,173,38
1,7,4,116,173,38
1,7,5,116,173,38
1,7,6,116,173,38
1,7,7,116,173,38
2,7,0,139,192,43
2,7,1,139,192,43
2,7,2,139,192,43
2,7,3,139,192,43
2,7,4,139,192,43
2,7,5,139,192,43
2,7,6,139,192,43
2,7,7,139,192,43
3,7,0,136,189,42
3,7,1,136,189,42
3,7,2,136,189,42
3,7,3,136,189,42
3,7,4,136,189,42
3,7,5,136,189,42
3,7,6,136,189,42
3,7,7,136,189,42
4,7,0,91,152,33
4,7,1,91,152,33
4,7,2,91,152,33
4,7,3,91,152,33
4,7,4,91,152,33
4,7,5,91,152,33
4,7,6,91,152,33
4,7,7,91,152,33
5,7,0,91,152,33
5,7,1,91,152,33
5,7,2,91,152,33
5,7,3,91,152,33
5,7,4,91,152,33
5,7,5,91,152,33
5,7,6,91,152,33
5,7,7,91,152,33
6,7,0,91,152,33
6,7,1,91,152,33
6,7,2,91,152,33
6,7,3,91,152,33
6,7,4,91,152,33
6,7,5,91,152,33
6,7,6,91,152,33
6,7,7,91,152,33
7,7,0,91,152,33
7,7,1,91,152,33
7,7,2,91,152,33
7,7,3,91,152,33
7,7,4,91,152,33
7,7,5,91,152,33
7,7,6,91,152,33
7,7,7,91,152,33
8,7,0,115,172,38
8,7,1,115,172,38
8,7,2,115,172,38
8,7,3,115,172,38
8,7,4,115,172,38
8,7,5,115,172,38
8,7,6,115,172,38
8,7,7,115,172,38
9,7,0,123,178,39
9,7,1,123,178,39
9,7,2,123,178,39
9,7,3,123,178,39
9,7,4,123,178,39
9,7,5,123,178,39
9,7,6,123,178,39
9,7,7,123,178,39
10,7,0,103,162,35
10,7,1,103,162,35
10,7,2,103,162,35
10,7,3,103,162,35
10,7,4,103,162,35
10,7,5,103,162,35
10,7,6,103,162,35
10,7,7,103,162,35
11,7,0,91,152,33
11,7,1,91,152,33
11,7,2,91,152,33
11,7,3,91,152,33
11,7,4,91,152,33
11,7,5,91,152,33
11,7,6,91,152,33
11,7,7,91,152,33
1,6,0,91,152,33
1,6,1,91,152,33
1,6,2,91,152,33
1,6,3,91,152,33
1,6,4,91,152,33
