# resolution=16
# scale=1.0
# transform=0,0,0
r,g,b,a
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,21,32,50
53,88,112,151
121,147,165,195
137,168,189,223
132,157,174,201
55,89,111,148
5,20,30,48
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,12,18,28
92,134,161,208
225,236,243,255
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
240,245,249,255
200,220,233,255
7,29,44,69
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,14,21,33
112,156,185,233
255,255,255,255
255,255,255,255
217,231,240,255
244,248,250,255
255,255,255,255
255,255,255,255
200,220,233,255
34,96,138,207
2,9,14,21
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
104,145,173,219
255,255,255,255
255,255,255,255
214,229,239,255
212,227,237,255
70,146,189,255
79,159,198,255
199,219,233,255
255,255,255,255
220,232,241,255
9,32,47,72
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7,30,46,72
233,241,246,255
255,255,255,255
251,252,253,255
195,216,231,255
140,182,210,255
64,183,216,255
56,173,195,207
14,54,75,108
162,194,215,250
255,255,255,255
75,115,141,185
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
67,104,128,169
255,255,255,255
231,239,245,255
138,180,208,255
142,194,219,255
73,175,210,255
65,204,233,254
17,53,59,64
0,0,0,0
3,14,21,32
31,78,110,162
9,36,54,84
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
132,167,190,228
255,255,255,255
255,255,255,255
255,255,255,255
255,255,255,255
243,247,250,255
73,168,204,254
20,66,77,86
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
149,187,212,255
255,255,255,255
255,255,255,255
236,243,247,255
235,242,247,255
226,236,243,255
65,152,194,255
49,158,187,219
1,3,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
148,186,212,255
255,255,255,255
130,177,207,255
38,139,185,255
40,143,189,255
41,147,191,255
50,169,208,255
51,171,209,255
30,103,127,156
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
129,168,195,239
165,198,219,255
38,138,185,255
42,149,193,255
44,153,196,255
45,155,197,255
45,157,198,255
45,156,198,255
44,154,196,255
27,96,124,163
2,8,10,14
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
62,105,133,180
91,153,192,255
34,129,178,255
37,134,182,255
38,138,185,255
39,140,187,255
39,141,187,255
39,140,187,255
38,139,186,255
37,135,183,255
32,118,162,229
9,36,52,78
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9,37,56,87
44,120,171,255
28,112,166,255
30,116,169,255
31,120,172,255
32,122,174,255
32,123,174,255
32,122,174,255
31,121,173,255
30,117,170,255
28,113,167,255
27,110,165,255
24,98,147,229
12,49,73,114
1,6,10,15
0,0,0,0
0,0,0,0
17,69,104,162
6,24,36,57
0,0,0,0
0,0,0,0
7,28,42,65
16,64,96,148
25,100,150,232
27,109,164,255
27,109,164,255
27,109,164,255
27,109,164,255
27,109,164,255
16,66,99,154
1,4,6,9
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,4,6,10
6,27,41,63
6,27,41,63
6,25,38,59
0,2,3,5
0,0,0,0
0,0,0,0
